epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
87,3315.87,0.55128,1.25449,0.59081,0.89819,0,0.58211,0.44858,0.4952,0.36031,0.60813,0.42857,0.44115,0.19776,1.29145,4.14691,3.1132,1.50128,0,0.0004324,0.0004324,0.0004324
88,3349.05,0.54648,1.19265,0.55992,0.89779,0,0.58211,0.44858,0.4952,0.36031,0.60813,0.42857,0.44115,0.19776,1.29145,4.14691,3.1132,1.50128,0,0.0004258,0.0004258,0.0004258
89,3384.71,0.51571,1.13594,0.54828,0.8939,0,0.58211,0.44858,0.4952,0.36031,0.60813,0.42857,0.44115,0.19776,1.29145,4.14691,3.1132,1.50128,0,0.0004192,0.0004192,0.0004192
90,3421.58,0.56937,1.16841,0.62168,0.90737,0,0.57822,0.35698,0.44047,0.29109,0.65761,0.42885,0.40621,0.17282,1.36844,3.94981,3.19018,1.56983,0,0.0004126,0.0004126,0.0004126
91,3458.5,0.57305,1.16901,0.58018,0.90367,0,0.57822,0.35698,0.44047,0.29109,0.65761,0.42885,0.40621,0.17282,1.36844,3.94981,3.19018,1.56983,0,0.000406,0.000406,0.000406
92,3496.24,0.54766,1.13376,0.57154,0.89297,0,0.57822,0.35698,0.44047,0.29109,0.65761,0.42885,0.40621,0.17282,1.36844,3.94981,3.19018,1.56983,0,0.0003994,0.0003994,0.0003994
93,3537.58,0.50589,1.07063,0.53657,0.87995,0,0.57822,0.35698,0.44047,0.29109,0.65761,0.42885,0.40621,0.17282,1.36844,3.94981,3.19018,1.56983,0,0.0003928,0.0003928,0.0003928
94,3577.01,0.55643,1.13641,0.54962,0.88782,0,0.62731,0.3224,0.49781,0.3269,0.64601,0.39614,0.54251,0.21008,1.3034,3.76456,3.02628,1.51151,0,0.0003862,0.0003862,0.0003862
95,3614.65,0.53488,1.0462,0.55787,0.87537,0,0.62731,0.3224,0.49781,0.3269,0.64601,0.39614,0.54251,0.21008,1.3034,3.76456,3.02628,1.51151,0,0.0003796,0.0003796,0.0003796
96,3650.57,0.55459,1.09848,0.55312,0.87858,0,0.62731,0.3224,0.49781,0.3269,0.64601,0.39614,0.54251,0.21008,1.3034,3.76456,3.02628,1.51151,0,0.000373,0.000373,0.000373
97,3691.13,0.51014,1.0354,0.51142,0.88936,0,0.62731,0.3224,0.49781,0.3269,0.64601,0.39614,0.54251,0.21008,1.3034,3.76456,3.02628,1.51151,0,0.0003664,0.0003664,0.0003664
98,3733.64,0.52545,1.09209,0.5372,0.90661,0,0.55302,0.43569,0.53158,0.34372,0.56892,0.50712,0.58315,0.20995,1.35186,3.68844,2.84459,1.54815,0,0.0003598,0.0003598,0.0003598
99,3775.7,0.50632,1.05391,0.52733,0.86526,0,0.55302,0.43569,0.53158,0.34372,0.56892,0.50712,0.58315,0.20995,1.35186,3.68844,2.84459,1.54815,0,0.0003532,0.0003532,0.0003532
100,3810.77,0.5064,1.01796,0.54831,0.88603,0,0.55302,0.43569,0.53158,0.34372,0.56892,0.50712,0.58315,0.20995,1.35186,3.68844,2.84459,1.54815,0,0.0003466,0.0003466,0.0003466
101,3847.67,0.51128,1.03533,0.54993,0.87542,0,0.55302,0.43569,0.53158,0.34372,0.56892,0.50712,0.58315,0.20995,1.35186,3.68844,2.84459,1.54815,0,0.00034,0.00034,0.00034
102,3882.81,0.54177,1.16894,0.58178,0.87702,0,0.40002,0.50314,0.54454,0.35577,0.41706,0.52381,0.55583,0.2349,1.3688,3.6501,2.81934,1.56904,0,0.0003334,0.0003334,0.0003334
103,3926.3,0.51695,1.05145,0.51381,0.87756,0,0.40002,0.50314,0.54454,0.35577,0.41706,0.52381,0.55583,0.2349,1.3688,3.6501,2.81934,1.56904,0,0.0003268,0.0003268,0.0003268
104,3961.58,0.52021,1.04544,0.50832,0.88793,0,0.40002,0.50314,0.54454,0.35577,0.41706,0.52381,0.55583,0.2349,1.3688,3.6501,2.81934,1.56904,0,0.0003202,0.0003202,0.0003202
105,4004.08,0.54067,1.04404,0.50584,0.88169,0,0.40002,0.50314,0.54454,0.35577,0.41706,0.52381,0.55583,0.2349,1.3688,3.6501,2.81934,1.56904,0,0.0003136,0.0003136,0.0003136
